,Home?,Win?,Offensive Adv Season,Offensive Adv 3G,Offensive Adv 1G,Defensive Adv Season,Defensive Adv 3G,Defensive Adv 1G,Offensive H/A Adv,Defensive H/A Adv
0,0,0,2.799999999999997,-13.299999999999997,-21.0,6.0,7.700000000000003,7.0,5.799999999999997,5.200000000000003
1,1,1,-6.0,-7.700000000000003,-7.0,-2.799999999999997,13.299999999999997,21.0,-5.200000000000003,-5.799999999999997
2,0,1,-0.7000000000000028,-8.0,-27.0,-3.8000000000000114,-3.0,18.0,-3.0999999999999943,-1.0
3,1,0,3.8000000000000114,3.0,-18.0,0.7000000000000028,8.0,27.0,1.0,3.0999999999999943
4,0,0,-0.20000000000000284,-1.7000000000000028,-8.0,-7.400000000000006,-7.0,-20.0,0.8999999999999915,-7.700000000000003
5,1,1,7.400000000000006,7.0,20.0,0.20000000000000284,1.7000000000000028,8.0,7.700000000000003,-0.8999999999999915
6,0,1,-5.5,-6.599999999999994,8.0,-4.700000000000003,-10.0,-19.0,-7.400000000000006,0.6999999999999886
7,1,0,4.700000000000003,10.0,19.0,5.5,6.599999999999994,-8.0,-0.6999999999999886,7.400000000000006
8,0,0,0.29999999999999716,11.299999999999997,40.0,-7.300000000000011,6.299999999999997,2.0,-3.0,-10.099999999999994
9,1,1,7.300000000000011,-6.299999999999997,-2.0,-0.29999999999999716,-11.299999999999997,-40.0,10.099999999999994,3.0
10,0,0,5.5,-1.0,-6.0,0.0,4.700000000000003,12.0,5.199999999999989,2.299999999999997
11,1,1,0.0,-4.700000000000003,-12.0,-5.5,1.0,6.0,-2.299999999999997,-5.199999999999989
12,0,0,4.400000000000006,-6.599999999999994,-6.0,4.700000000000003,-0.7000000000000028,-1.0,-1.7000000000000028,1.7999999999999972
13,1,1,-4.700000000000003,0.7000000000000028,1.0,-4.400000000000006,6.599999999999994,6.0,-1.7999999999999972,1.7000000000000028
14,0,1,-5.8999999999999915,6.299999999999997,5.0,7.099999999999994,11.599999999999994,36.0,-9.700000000000003,2.1999999999999886
15,1,0,-7.099999999999994,-11.599999999999994,-36.0,5.8999999999999915,-6.299999999999997,-5.0,-2.1999999999999886,9.700000000000003
16,0,1,-0.5,0.5999999999999943,2.0,-3.299999999999997,-4.0,-3.0,0.0,0.8000000000000114
17,1,0,3.299999999999997,4.0,3.0,0.5,-0.5999999999999943,-2.0,-0.8000000000000114,0.0
18,0,1,-4.599999999999994,0.7000000000000028,-7.0,3.799999999999997,8.0,5.0,-2.9000000000000057,1.8999999999999915
19,1,0,-3.799999999999997,-8.0,-5.0,4.599999999999994,-0.7000000000000028,7.0,-1.8999999999999915,2.9000000000000057
20,0,1,0.6999999999999886,-2.0,8.0,-7.800000000000011,-11.700000000000003,-19.0,-0.20000000000000284,-6.700000000000003
21,1,0,7.800000000000011,11.700000000000003,19.0,-0.6999999999999886,2.0,-8.0,6.700000000000003,0.20000000000000284
22,0,1,5.1000000000000085,-6.299999999999997,-15.0,8.100000000000009,18.599999999999994,20.0,6.799999999999997,10.700000000000003
23,1,0,-8.100000000000009,-18.599999999999994,-20.0,-5.1000000000000085,6.299999999999997,15.0,-10.700000000000003,-6.799999999999997
24,0,1,-0.30000000000001137,-14.700000000000003,-13.0,6.699999999999989,3.299999999999997,4.0,-0.4000000000000057,11.600000000000009
25,1,0,-6.699999999999989,-3.299999999999997,-4.0,0.30000000000001137,14.700000000000003,13.0,-11.600000000000009,0.4000000000000057
26,0,0,-8.099999999999994,3.0,-18.0,5.300000000000011,9.0,-14.0,-7.400000000000006,-0.20000000000000284
27,1,1,-5.300000000000011,-9.0,14.0,8.099999999999994,-3.0,18.0,0.20000000000000284,7.400000000000006
