,Home?,Win?,Offensive Adv Season,Offensive Adv 3G,Offensive Adv 1G,Defensive Adv Season,Defensive Adv 3G,Defensive Adv 1G,Offensive H/A Adv,Defensive H/A Adv
521,1,0,2.6000000000000085,11.0,17.0,2.0,-10.700000000000003,-6.0,4.6000000000000085,4.299999999999997
522,0,0,0.20000000000000284,-7.700000000000003,-15.0,7.0,10.400000000000006,20.0,1.2000000000000028,8.100000000000009
523,1,1,-7.0,-10.400000000000006,-20.0,-0.20000000000000284,7.700000000000003,15.0,-8.100000000000009,-1.2000000000000028
524,0,1,-4.299999999999997,-12.299999999999997,-10.0,-2.4000000000000057,-17.299999999999997,-30.0,-4.599999999999994,-1.5
525,1,0,2.4000000000000057,17.299999999999997,30.0,4.299999999999997,12.299999999999997,10.0,1.5,4.599999999999994
526,0,1,6.0,-2.0,-2.0,-0.10000000000000853,7.0,33.0,7.900000000000006,-0.5999999999999943
527,1,0,0.10000000000000853,-7.0,-33.0,-6.0,2.0,2.0,0.5999999999999943,-7.900000000000006
528,0,0,10.5,14.0,23.0,5.199999999999989,-1.0,-21.0,13.099999999999994,4.799999999999997
529,1,1,-5.199999999999989,1.0,21.0,-10.5,-14.0,-23.0,-4.799999999999997,-13.099999999999994
530,0,0,-9.599999999999994,-20.599999999999994,-14.0,-11.799999999999997,-29.599999999999994,-26.0,-9.0,-10.700000000000003
531,1,1,11.799999999999997,29.599999999999994,26.0,9.599999999999994,20.599999999999994,14.0,10.700000000000003,9.0
532,0,0,3.3999999999999915,-3.299999999999997,-26.0,6.6000000000000085,-6.299999999999997,-14.0,-0.5999999999999943,7.799999999999997
533,1,1,-6.6000000000000085,6.299999999999997,14.0,-3.3999999999999915,3.299999999999997,26.0,-7.799999999999997,0.5999999999999943
534,0,0,2.200000000000003,-2.299999999999997,-16.0,-2.0999999999999943,5.299999999999997,33.0,3.3000000000000114,-0.8000000000000114
535,1,1,2.0999999999999943,-5.299999999999997,-33.0,-2.200000000000003,2.299999999999997,16.0,0.8000000000000114,-3.3000000000000114
536,0,1,-9.700000000000003,-0.7000000000000028,-10.0,-0.29999999999999716,7.0,-10.0,-10.799999999999997,-4.299999999999997
537,1,0,0.29999999999999716,-7.0,10.0,9.700000000000003,0.7000000000000028,10.0,4.299999999999997,10.799999999999997
538,0,1,9.399999999999991,35.999999999999986,55.0,-1.5,13.0,30.0,8.700000000000003,-2.6000000000000085
539,1,0,1.5,-13.0,-30.0,-9.399999999999991,-35.999999999999986,-55.0,2.6000000000000085,-8.700000000000003
540,0,0,-2.5,-10.299999999999997,0.0,8.400000000000006,-7.0,0.0,-1.6999999999999886,7.900000000000006
541,1,1,-8.400000000000006,7.0,0.0,2.5,10.299999999999997,0.0,-7.900000000000006,1.6999999999999886
542,0,0,-3.6000000000000085,-6.0,-8.0,-4.799999999999997,-1.0,-3.0,-3.4000000000000057,-2.799999999999997
543,1,1,4.799999999999997,1.0,3.0,3.6000000000000085,6.0,8.0,2.799999999999997,3.4000000000000057
544,0,0,-0.09999999999999432,0.5999999999999943,11.0,-8.200000000000003,14.0,28.0,-1.8000000000000114,-9.0
545,1,1,8.200000000000003,-14.0,-28.0,0.09999999999999432,-0.5999999999999943,-11.0,9.0,1.8000000000000114
546,0,1,3.299999999999997,2.700000000000003,25.0,5.5,2.0,14.0,6.199999999999989,5.099999999999994
547,1,0,-5.5,-2.0,-14.0,-3.299999999999997,-2.700000000000003,-25.0,-5.099999999999994,-6.199999999999989
548,0,0,-9.899999999999991,-13.0,-9.0,-7.900000000000006,-7.299999999999997,7.0,-7.3999999999999915,-8.599999999999994
549,1,1,7.900000000000006,7.299999999999997,-7.0,9.899999999999991,13.0,9.0,8.599999999999994,7.3999999999999915
550,0,0,-14.199999999999989,-35.39999999999999,-52.0,-0.30000000000001137,-15.299999999999997,-26.0,-12.600000000000009,-3.6000000000000085
551,1,1,0.30000000000001137,15.299999999999997,26.0,14.199999999999989,35.39999999999999,52.0,3.6000000000000085,12.600000000000009
552,0,1,-7.0,-9.0,-26.0,0.3999999999999915,-7.400000000000006,-2.0,-8.599999999999994,3.299999999999997
553,1,0,-0.3999999999999915,7.400000000000006,2.0,7.0,9.0,26.0,-3.299999999999997,8.599999999999994
554,0,1,7.3999999999999915,-14.0,-37.0,0.7999999999999972,-4.400000000000006,-12.0,6.5,-2.5
555,1,0,-0.7999999999999972,4.400000000000006,12.0,-7.3999999999999915,14.0,37.0,2.5,-6.5
556,0,1,2.299999999999997,7.0,13.0,13.900000000000006,9.300000000000011,-19.0,-2.5,16.900000000000006
557,1,0,-13.900000000000006,-9.300000000000011,19.0,-2.299999999999997,-7.0,-13.0,-16.900000000000006,2.5
558,0,1,4.299999999999997,23.0,16.0,-3.3999999999999915,-6.299999999999997,-32.0,2.0,-6.0
559,1,0,3.3999999999999915,6.299999999999997,32.0,-4.299999999999997,-23.0,-16.0,6.0,-2.0
560,0,0,-0.7999999999999972,2.299999999999997,14.0,4.700000000000003,-9.299999999999997,3.0,3.0999999999999943,5.599999999999994
561,1,1,-4.700000000000003,9.299999999999997,-3.0,0.7999999999999972,-2.299999999999997,-14.0,-5.599999999999994,-3.0999999999999943
562,0,0,12.700000000000003,15.700000000000003,5.0,14.600000000000009,15.599999999999994,22.0,14.300000000000011,15.799999999999997
563,1,1,-14.600000000000009,-15.599999999999994,-22.0,-12.700000000000003,-15.700000000000003,-5.0,-15.799999999999997,-14.300000000000011
564,0,1,-2.6999999999999886,5.299999999999997,15.0,-9.899999999999991,-16.700000000000003,-10.0,-3.799999999999997,-15.400000000000006
565,1,0,9.899999999999991,16.700000000000003,10.0,2.6999999999999886,-5.299999999999997,-15.0,15.400000000000006,3.799999999999997
566,0,1,-0.5,12.700000000000003,-1.0,3.1000000000000085,10.700000000000003,-2.0,0.0,4.799999999999997
567,1,0,-3.1000000000000085,-10.700000000000003,2.0,0.5,-12.700000000000003,1.0,-4.799999999999997,0.0
568,0,0,6.700000000000003,2.4000000000000057,30.0,2.299999999999997,17.69999999999999,11.0,6.299999999999997,4.700000000000003
569,1,1,-2.299999999999997,-17.69999999999999,-11.0,-6.700000000000003,-2.4000000000000057,-30.0,-4.700000000000003,-6.299999999999997
570,0,1,-13.5,-10.0,-26.0,-3.4000000000000057,-10.299999999999997,-37.0,-15.299999999999997,-7.0
